Country,Year,AverageTemperature
Russia,2004,6.011428571428572
Russia,2005,7.297428571428571
Russia,2006,6.069857142857144
Russia,2007,7.552714285714286
Russia,2008,4.679875
Russia,2009,6.848142857142856
Russia,2010,7.0475714285714295
Russia,2011,5.234375
Russia,2012,7.621142857142857
Russia,2013,10.619559038822636
Switzerland,2000,8.562666666666667
Switzerland,2001,7.97975
Switzerland,2002,8.484833333333333
Switzerland,2003,8.669749999999999
Switzerland,2004,7.8460833333333335
Switzerland,2005,7.573916666666666
Switzerland,2006,8.33775
Switzerland,2007,8.55275
Switzerland,2008,8.109666666666667
Switzerland,2009,8.300666666666666
Switzerland,2010,7.226500000000001
Switzerland,2011,8.847333333333333
Switzerland,2012,8.15925
Switzerland,2013,9.179261581437313
United Arab Emirates,2000,28.877750000000002
United Arab Emirates,2001,29.009583333333335
United Arab Emirates,2002,29.058000000000003
United Arab Emirates,2003,29.228333333333335
United Arab Emirates,2004,29.104
United Arab Emirates,2005,28.99291666666667
United Arab Emirates,2006,28.984083333333334
United Arab Emirates,2007,29.15608333333333
United Arab Emirates,2008,28.685
United Arab Emirates,2009,29.127666666666666
United Arab Emirates,2010,29.671333333333333
United Arab Emirates,2011,29.205416666666668
United Arab Emirates,2012,29.425833333333333
United Arab Emirates,2013,28.017594914770644
United States,2000,9.64975
United States,2001,9.785583333333333
United States,2002,9.816166666666666
United States,2003,9.755083333333333
United States,2004,9.6675
United States,2005,9.892666666666667
United States,2006,9.9745
United States,2007,9.8375
United States,2008,8.951416666666667
United States,2009,9.137083333333335
United States,2010,9.505583333333334
United States,2011,9.549916666666666
United States,2012,10.261083333333334
United States,2013,11.297111111111112
